Task,Category
finalize the partnership agreement with the investor,urgent important
read student blog about university life and challenge,not-urgent not-important
organize shared workspace for team,not-urgent not-important
update your resume with new academic achievement,not-urgent important
follow up with unresponsive client,urgent important
participate in an online study group discussion,not-urgent not-important
coordinate the donation drive for the community event,urgent important
read research paper in your area of study for leisure,not-urgent not-important
research industry trend for next quarter's strategy,not-urgent important
approve the marketing strategy revision by next day,urgent important
review pull request from team member,urgent not-important
replace stapler,
organize the schedule for the family vacation next week,urgent important
ask for job shadowing opportunity,urgent not-important
check fridge content,
update student email,urgent not-important
respond to the professor’s comment on the essay,urgent important
replace worn-out mousepad,urgent not-important
organize the note for the study group session,urgent important
design learning path,not-urgent not-important
train customer support team,urgent not-important
prepare for the university interview next week,urgent important
watch a random youtube video,not-urgent not-important
order grocery before you run out,urgent not-important
remind classmate about group project,urgent not-important
develop leadership skill,not-urgent important
find detail about guest lecture event,urgent not-important
learn budgeting skill,not-urgent important
prepare for the high-stakes negotiation with the client,urgent important
review internal company policy for reference,not-urgent not-important
review the company's internal resource library,not-urgent not-important
take photo of nature for fun,not-urgent not-important
finalize the content update for the upcoming publication,urgent important
complete the project draft before the review meeting,urgent important
analyze performance report from the last period,not-urgent important
set up development environment and tool,urgent important
prepare for group project meeting,urgent important
submit research conference application,urgent not-important
plan schedule for final week,not-urgent important
check with hr about updating personal information in the system,urgent not-important
coordinate the travel plan for the team outing,urgent important
check out a new online store,not-urgent not-important
play online multiplayer game,not-urgent not-important
make minor ui improvement or enhancement,not-urgent not-important
update playlist name,not-urgent not-important
call tech support for printer issue,urgent not-important
subscribe to newsletter,not-urgent not-important
watch youtube video,not-urgent not-important
pay overdue bill,urgent important
organize volunteer work or community service opportunity,not-urgent important
study for chemistry quiz,urgent important
delegate task to team member,urgent not-important
organize study area,not-urgent not-important
attend a workshop on building academic portfolio,not-urgent important
manage social medium crisis,urgent important
prepare and preprocess data for analysis,urgent important
fix the issue with the website hosting,urgent important
create departmental logo,not-urgent not-important
browse study supply,not-urgent not-important
complete course registration before deadline,urgent not-important
finish the revision for the dissertation,urgent important
prepare the lab report for the chemistry experiment,urgent important
update marketing campaign metric,urgent not-important
document improvement plan based on feedback,not-urgent important
fix uneven desk height,
cross-check inventory list for accuracy,not-urgent important
update meeting room theme,not-urgent not-important
confirm dinner reservation for tonight,urgent not-important
review the detail for the team’s conference participation,urgent important
submit the final version of the operational guideline,urgent important
set up a study group with classmate,not-urgent important
learn academic software,not-urgent important
find course prerequisite for next semester,urgent not-important
reply to email,
schedule the final walkthrough for the construction site,urgent important
"address the compliance issue flagged yesterday, urgently",urgent important
update study schedule,urgent not-important
fix broken production line,urgent important
find better chair cushion,
do the laundry before leaving for work,urgent important
send a meeting reminder,
update room decor,not-urgent not-important
rearrange your study desk for better comfort,not-urgent not-important
watch a cooking show,not-urgent not-important
confirm conference registration,urgent important
rearrange the furniture,not-urgent not-important
monitor symptom and seek medical help if necessary,urgent important
submit the assignment due at midnight,urgent important
update profile picture,not-urgent not-important
read course-related news article,not-urgent important
respond to the request for urgent repair at home,urgent important
respond to the critical email from the client,urgent important
find out about campus-wide event for student,urgent not-important
prepare for tomorrow's big presentation,urgent important
complete the application for the summer internship,urgent important
validate the test case for the new software module,urgent important
design virtual background,not-urgent not-important
find new restaurant to try,not-urgent not-important
paint or draw,not-urgent important
prepare and deliver final project report to stakeholder,urgent important
try a new type of tea,not-urgent not-important
take a walk in the park,not-urgent not-important
organize study snack,not-urgent not-important
design new study sticker,not-urgent not-important
submit project proposal,urgent important
develop product roadmap,not-urgent important
update study break timer,not-urgent not-important
participate in industry webinar,not-urgent important
file expense report,urgent not-important
confirm project submission deadline,urgent not-important
attend required study session,urgent important
fill out team survey,urgent not-important
organize the document for the visa application,urgent important
design team building activity,not-urgent not-important
sign up for the online tutoring session for chemistry,urgent not-important
organize your digital subscription,not-urgent important
look up option for class withdrawal,urgent not-important
finalize the script for the keynote presentation,urgent important
make sure to return the rented textbook by tomorrow,urgent not-important
redecorate your living space,not-urgent not-important
write and plan code for a feature,not-urgent important
write summary note,not-urgent important
book a meeting room,
update project timeline,urgent important
research market trend,not-urgent important
look for study group for upcoming exam,urgent not-important
print document,urgent not-important
find new study music playlist for focus,not-urgent not-important
organize farewell card,
coordinate the team meeting to address staffing issue,urgent important
confirm group meeting time,urgent not-important
update phone widget,not-urgent not-important
join the online forum discussion for your class,urgent not-important
review your course load for the upcoming semester,not-urgent important
go to a coffee shop,not-urgent not-important
revisit old file,not-urgent not-important
coordinate the translation of key document for international client,urgent important
choose soft background music,
plan a dream vacation,not-urgent not-important
review lecture slide for upcoming exam,not-urgent important
review lecture note,not-urgent important
register for online course,not-urgent important
notify late arrival,
conduct client presentation and progress update,not-urgent important
build a strong brand reputation,not-urgent important
look up extra credit opportunity,urgent not-important
plan a day trip,not-urgent not-important
sort music playlist,not-urgent not-important
fetch lunch leftover,
review employee performance,urgent important
set reminder for assignment due date,not-urgent important
send out holiday card to client,not-urgent not-important
review and approve the budget for the upcoming project,urgent important
organize the family meeting this weekend,urgent important
submit the payroll processing update tonight,urgent important
prepare study note in advance,not-urgent important
review next week's material,not-urgent important
develop research methodology,not-urgent important
check stationery stock,
research grant and financial aid,not-urgent important
review old document,not-urgent not-important
find out shipment arrival time,urgent not-important
learn a new dance routine,not-urgent not-important
confirm meeting agenda,urgent not-important
make a funny video for friend,not-urgent not-important
monitor completion rate of assigned task,not-urgent important
look into study abroad program,not-urgent important
arrange lunch for team,urgent not-important
prepare material for vendor meeting,urgent important
prepare discussion topic for monthly meeting,not-urgent important
schedule the ac servicing before the summer heat start,urgent important
research online platform for academic tutoring,not-urgent not-important
update study schedule,not-urgent important
summarize textbook chapter,not-urgent important
set up internet for meeting,urgent not-important
design product innovation framework,not-urgent important
check office pantry supply,urgent not-important
ask ta about class material,urgent not-important
review project risk and contingency,not-urgent important
update study reward,not-urgent not-important
schedule a briefing with the operation team,urgent important
arrange office table,
join a club or organization at school,not-urgent important
schedule academic advisor meeting,not-urgent important
browse laptop accessory,not-urgent not-important
update room arrangement,not-urgent not-important
respond to professor's email,urgent important
review and finalize the merger agreement,urgent important
design study progress chart,not-urgent not-important
find new way to study more efficiently,not-urgent not-important
order chair for presentation,urgent not-important
remind group about project submission,urgent not-important
check for university event that are not course-related,not-urgent not-important
send the update to the project stakeholder,urgent important
organize study break activity,not-urgent not-important
research extracurricular activity to join on campus,not-urgent not-important
create a fun survey,
meditate or pray,not-urgent important
update study routine checklist,not-urgent not-important
explore local park or hiking trail,not-urgent important
prepare the talking point for tonight’s press briefing,urgent important
review your past exam to identify area for improvement,not-urgent important
send the contract urgently before the deadline,urgent important
watch cooking tutorial,not-urgent not-important
check progress on individual development plan,not-urgent important
update your resume with new experience,not-urgent important
respond to the email from the ceo,urgent important
organize the meeting to discus budget cut,urgent important
sort pending invoice for processing,not-urgent important
set up a meeting with a professor for clarification,not-urgent important
organize music playlist,not-urgent not-important
prepare for casual chat,
attend university seminar that are outside of your major,not-urgent not-important
review the course’s online discussion post for key insight,urgent not-important
approve the proposal for the product redesign,urgent important
practice lab technique,not-urgent important
watch educational video,not-urgent important
learn a magic trick,not-urgent not-important
create revision guide,not-urgent not-important
verify attendee list for presentation,urgent not-important
organize the training session for new hire,urgent important
find out about the campus event happening this week,urgent not-important
look for new movie release,not-urgent not-important
attend career fair,not-urgent important
get involved in university sport or fitness activity,not-urgent important
submit printer credit,urgent not-important
design study reflection journal,not-urgent not-important
celebrate project milestone and success,not-urgent not-important
plan time for self-care during exam season,not-urgent important
order custom promotional material,not-urgent not-important
research new office software solution,not-urgent important
play mobile game,not-urgent not-important
run social medium ad,urgent important
read article on balancing university life and health,not-urgent not-important
join an online hobby group,not-urgent not-important
listen to a random playlist,not-urgent not-important
prepare the summary for the investor presentation,urgent important
handle the critical issue with the server downtime,urgent important
learn new programming language,not-urgent important
buy marker for board,
find a quiet study spot,not-urgent not-important
washing the dish,urgent important
customize keyboard shortcut,not-urgent not-important
provide feedback on the request from the manager,urgent important
watch a random cooking video,not-urgent not-important
join an online course related to your major,not-urgent important
check paper stock for printer,urgent not-important
finish lab prep,urgent important
update printer naming convention,not-urgent not-important
study for upcoming quiz,urgent important
send project update to stakeholder,urgent not-important
respond to the feedback on the marketing material,urgent important
clean out your bag or backpack,not-urgent important
onboard new client,urgent important
join a new group chat,not-urgent not-important
confirm assignment deadline,urgent not-important
confirm group meeting for project discussion,urgent not-important
search for funny pet video,not-urgent not-important
resolve technical issue preventing project launch,urgent important
prepare the presentation for the academic conference,urgent important
update app layout,not-urgent not-important
check the professor’s feedback on your assignment submission,urgent not-important
read through student success story online,not-urgent not-important
browse social medium,not-urgent not-important
follow up on pending invoice,urgent important
submit environmental compliance report,urgent important
review class syllabus,not-urgent important
develop new product,urgent important
clean up your university email inbox,not-urgent important
review financial statement,urgent important
submit class preference,urgent not-important
plan study schedule for final exam,not-urgent important
reorganize backpack content,not-urgent not-important
clean up your computer desktop,not-urgent not-important
check for any update on university’s website for event,urgent not-important
remind yourself to bring material for the class presentation,urgent not-important
take time for personal reflection or journaling,not-urgent important
remind to turn off light and equipment,urgent not-important
ensure budget management and resource allocation,urgent not-important
prepare team activity report,not-urgent important
browse pinterest for idea,not-urgent not-important
finalize the detail for tomorrow’s press release,urgent important
sort study playlist,not-urgent not-important
practice gratitude,not-urgent important
check meeting room setup,urgent not-important
organize a meeting with your academic advisor,not-urgent important
update browser bookmark,not-urgent not-important
organizing clutter,not-urgent important
organize the pantry and restock essential grocery,urgent important
research sustainable living practice,not-urgent important
relax and watch movie or listen to music to distract yourself,not-urgent not-important
order taxi for team member,urgent not-important
check class forum for any announcement from professor,urgent not-important
send thank you note after interview,urgent not-important
attend job orientation,urgent important
complete assignment and submit on time,urgent important
search for student research opportunity,urgent not-important
update your resume with recent academic accomplishment,not-urgent not-important
collaborate with team member on feature and integration,not-urgent important
update employee handbook,not-urgent important
organize a meeting to address the staffing shortage,urgent important
organize your semester note in digital format,not-urgent not-important
sign up for university-hosted webinars on career skill,not-urgent important
set aside time for reading every week,not-urgent important
attend weekly team meeting,urgent important
send thank-you note to partner,not-urgent not-important
browse desk light,not-urgent not-important
organize course syllabus,not-urgent not-important
explore opportunity for campus leadership position,not-urgent not-important
check grade update,urgent not-important
mopping the floor,not-urgent important
design employee wellness program,not-urgent important
fix the bug in the code before the release,urgent important
sort digital note,not-urgent not-important
remind team about upcoming holiday,urgent not-important
schedule a meeting with the academic advisor for guidance,urgent important
write monthly newsletter,not-urgent important
work on group project and collaborate with team member,not-urgent important
clean and reorganize your room,not-urgent important
review your student loan and repayment plan,not-urgent important
complete dormitory checkout,urgent important
perform feature engineering and selection,urgent important
confirm the travel arrangement for the client visit,urgent important
read student blog for university life advice,not-urgent not-important
apply for library study room,urgent important
watch an episode of a podcast,not-urgent not-important
prepare for weekly project update,not-urgent important
sign up for study session,urgent not-important
check on printer’s paper supply for team,urgent not-important
browse desk organization item,not-urgent not-important
monitor deployed model and retrain a necessary,not-urgent important
participate in class discussion board,urgent not-important
send email to confirm study group time,urgent not-important
remind to bring water bottle,urgent not-important
schedule club meeting,urgent not-important
attend virtual event hosted by student organization,not-urgent not-important
schedule meeting with team to discus goal,not-urgent important
search for new study apps to help with productivity,not-urgent not-important
review course material and note for exam,urgent important
review podcast subscription,not-urgent not-important
organize a networking event with alumnus,not-urgent important
organize study material,not-urgent not-important
respond to the ceo’s feedback on the quarterly report,urgent important
attend the seminar for the upcoming course,urgent important
prepare the response for the urgent rfp request tonight,urgent important
build academic reference,not-urgent important
conduct a review of the performance benchmark achieved,urgent important
define project scope and objective,urgent important
schedule the product demonstration for prospective client,urgent important
browse study website,not-urgent not-important
pay tuition fee deadline,urgent important
test projector connection,
celebrate accomplishment,not-urgent important
organize spare office supply,urgent not-important
review your university’s academic calendar for break,not-urgent not-important
optimize code for performance,not-urgent important
watch a new series on netflix,not-urgent not-important
find your course schedule for next semester,urgent not-important
sign up for group study session for the semester,urgent not-important
check status of request,urgent not-important
attend chemistry lab,urgent important
check assignment feedback,urgent not-important
negotiate vendor contract renewal,urgent important
finalize product release checklist,urgent important
go to the gym,not-urgent important
finalize the recruitment decision before tomorrow noon,urgent important
approve the project deliverable by next day,urgent important
review old office photo,
donate unused item to charity,not-urgent important
review deadline for upcoming project and assignment,not-urgent important
get extra napkin for coffee break,urgent not-important
sign up for professional development event,urgent not-important
remind team of weekly meeting,urgent not-important
organize team building activity,not-urgent important
review the article for the research paper,urgent important
review academic calendar for holiday,urgent not-important
read academic journal,not-urgent important
set up lunch order for the team,urgent not-important
confirm lab session timing,urgent not-important
update study playlist,not-urgent not-important
review training material,not-urgent important
fill out scholarship application,urgent important
organize the group study session for the midterm exam,urgent important
check exam date on portal,urgent not-important
read interesting opinion piece online,not-urgent not-important
refactor code for better readability,not-urgent important
attend a guest lecture or seminar,not-urgent important
complete online discussion post,urgent important
organize reference list,not-urgent not-important
find spare projector screen,urgent not-important
create template for recurring report,not-urgent important
make extra photo copy,
resolve the urgent billing issue within 2 hour,urgent important
confirm training session time,urgent not-important
check calendar for team event,urgent not-important
customize file name,not-urgent not-important
find the lecture slide for the upcoming class,urgent not-important
clean up your academic file and note,not-urgent important
attend campus club meeting,not-urgent not-important
update internal wiki page,urgent not-important
check campus event,urgent not-important
review the office catering option for the event,urgent not-important
revisit draft of company policy update,not-urgent important
join the online class before it start,urgent not-important
get air conditioner fixed,urgent not-important
create citation library,not-urgent not-important
join a sport team,not-urgent important
coordinate the team’s response for the regulatory inquiry,urgent important
email advisor for thesis feedback,urgent not-important
complete the community service hour for the program,urgent important
complete pre-lab question,urgent important
track project budget and expense,not-urgent important
create mood board,not-urgent not-important
set personal goal for improving grade or study habit,not-urgent important
check availability of conference room for next week,urgent not-important
design new background,not-urgent not-important
review new software tool,not-urgent important
organize the office-wide meeting for the announcement,urgent important
take a digital detox for a day,not-urgent important
check email for urgent issue,urgent not-important
order course material,urgent not-important
find a study guide for the upcoming exam online,urgent not-important
plan next month's newsletter,not-urgent important
create topic outline,not-urgent not-important
review essay guideline,not-urgent important
schedule yearly team review session,not-urgent important
scroll through meme,not-urgent not-important
create a new client proposal,urgent important
apply for internship,urgent important
update linkedin profile,not-urgent not-important
buy random thing on sale,not-urgent not-important
catch up on missed reading,not-urgent important
finalize the event detail for tomorrow’s launch ceremony,urgent important
report elevator malfunction,urgent not-important
replace faulty laptop charger,urgent not-important
organize team meeting and check-in,not-urgent important
check office event detail,urgent not-important
research new library or framework for project,not-urgent important
prepare for the final exam next week,urgent important
file warranty receipt,
check deadline for application,not-urgent important
check refreshment delivery time,urgent not-important
look up new skincare routine,not-urgent not-important
book refreshment,
create a list of study topic,not-urgent important
schedule regular break during study session,not-urgent important
schedule meeting with client x,urgent important
ask about extending course project deadline,urgent not-important
research how to balance work and study life,not-urgent important
list suggestion for lunch,
complete the project risk assessment for the next phase,urgent important
update study progress,not-urgent not-important
update app notification setting,not-urgent not-important
oversee the logistics arrangement for the charity fundraiser,urgent important
remind yourself to call the plumber for the leak,urgent not-important
finalize the detail for the corporate event next week,urgent important
submit homework on time,urgent important
switch desk plant,
schedule meeting with project partner,urgent not-important
research upcoming academic conference or event,not-urgent important
prepare for academic interview for scholarship or grant,not-urgent important
arrange the payment for the overdue utility bill,urgent important
prepare for client quarterly review,urgent important
update your academic planner or calendar,not-urgent important
submit the tax filing document before tomorrow deadline,urgent important
finalize the logistics plan for tomorrow’s celebration,urgent important
prepare your personal statement for graduate school application,not-urgent important
organize the schedule for the office retreat next month,urgent important
check air conditioning status,urgent not-important
search for study guide or textbook for your course,not-urgent not-important
improve documentation,not-urgent important
research competitor,not-urgent important
review and approve the team’s project timeline,urgent important
resolve the client issue before tomorrow's deadline,urgent important
submit the expense report tonight without fail,urgent important
send group project update,urgent not-important
align the schedule for the cross-departmental workshop,urgent important
find customer service number,urgent not-important
align the marketing strategy with the updated brand guideline,urgent important
change water dispenser bottle,
review the legal paperwork for the property sale,urgent important
monitor project progress and ensure deadline are met,urgent important
analyze data and identify trend,urgent important
sort pen by color,
research alternative course that might interest you,not-urgent not-important
watch a relaxing nature video,not-urgent not-important
sort through mail,urgent not-important
adjust room thermostat,
update company screensavers,not-urgent not-important
customize phone setting,not-urgent not-important
create department newsletter,not-urgent not-important
buy a new notebook for lecture note,urgent not-important
remind team to return borrowed equipment,urgent not-important
study for the biology exam tomorrow,urgent important
plan international expansion,not-urgent important
plan ahead for university holiday and break,not-urgent not-important
plan a budget-friendly weekend getaway,not-urgent important
label pantry box,
submit routine assignment,urgent not-important
prepare dinner,not-urgent important
update folder name,not-urgent not-important
remind to reset alarm,urgent not-important
ask your classmate about the homework assignment,urgent not-important
train employee on crisis communication,urgent not-important
check out university alumnus event for networking,not-urgent not-important
organize your study material for the semester,not-urgent important
order graduation gown,urgent not-important
check out trending hashtags on twitter,not-urgent not-important
complete the stakeholder alignment strategy presentation,urgent important
create study checklist,not-urgent not-important
look up past exam paper for the upcoming test,urgent not-important
search for free academic tool to improve university task,not-urgent not-important
create a team onboarding checklist,not-urgent important
schedule weekly meeting,not-urgent important
update study strategy visuals,not-urgent not-important
make a mood board on pinterest,not-urgent not-important
update crm with new lead,urgent important
design study routine,not-urgent not-important
eat breakfast,not-urgent important
check if your student loan are up to date,not-urgent not-important
organize digital file,urgent not-important
coordinate the product shipment detail with the logistics team,urgent important
complete employee evaluation,urgent important
update your academic profile on the university portal,not-urgent not-important
arrange a team lunch,
learn foreign language,not-urgent important
buy a new calculator for the math exam,urgent not-important
review saved article,not-urgent not-important
find out about career fair date,urgent not-important
send funny video to family,not-urgent not-important
check network for meeting,urgent not-important
check availability of study room,not-urgent not-important
develop strategy outline for long-term project,not-urgent important
reserve study room,urgent not-important
watch viral tiktok video,not-urgent not-important
pick up dry cleaning before the store close,urgent not-important
review quarterly objective,not-urgent important
create presentation for meeting,urgent not-important
look for an internship opportunity,urgent not-important
practice public speaking,not-urgent important
call vendor to confirm office supply delivery,urgent not-important
review company's social medium post,urgent not-important
check campus event schedule,not-urgent not-important
review product inventory,urgent important
order snack for meeting,urgent not-important
organize office file,not-urgent not-important
create department dashboard,not-urgent not-important
review the user feedback to prioritize development fix,urgent important
complete the essay assignment for the class,urgent important
conduct a briefing session with the regional manager,urgent important
process routine invoice,urgent not-important
check change to class schedule,urgent not-important
complete the group project before submission,urgent important
book an appointment with the dentist for a check-up,urgent important
plan digital transformation roadmap,not-urgent important
manage inventory,urgent not-important
update resume for job fair,urgent not-important
schedule the meeting with the academic advisor,urgent important
review and improve internal workflow,not-urgent important
schedule a doctor's appointment,not-urgent important
check for available scholarship,urgent not-important
attend a local event,not-urgent not-important
set up a study schedule,not-urgent important
create a playlist,not-urgent not-important
finish the revision on the article before submission,urgent important
plan an indoor movie marathon,not-urgent not-important
revisit monthly budget forecast,not-urgent important
practice presentation skill,not-urgent important
plan weekend activity,not-urgent not-important
check out student competition and contest,not-urgent not-important
organize a fundraiser event for the neighborhood project,urgent important
write down key learning takeaway,not-urgent not-important
read a random news article,not-urgent not-important
check grade online,urgent important
look into online study resource for university course,not-urgent not-important
review note for lecture,urgent not-important
respond to vendor inquiry,urgent important
learn from mistake,not-urgent important
reserve a meeting room,
create career plan,not-urgent important
apply for summer internship,not-urgent important
attend a university club meeting to explore new interest,not-urgent important
reconcile the discrepancy found in the financial record,urgent important
respond to the request for new hardware for the team,urgent important
update intranet color scheme,not-urgent not-important
look for new way to organize your study group,not-urgent not-important
write unit test for code,not-urgent important
send event reminder,
review your subscription service for upcoming renewal,urgent not-important
confirm group member role,urgent not-important
set goal for the year,not-urgent important
take random quiz online,not-urgent not-important
execute emergency evacuation drill,urgent important
schedule the follow-up call for tomorrow morning urgently,urgent important
update study corner,not-urgent not-important
finalize the client presentation for tomorrow's meeting,urgent important
look up detail about guest speaker event,urgent not-important
complete the safety check for the home appliance,urgent important
submit late homework pas request,urgent important
design office space theme,not-urgent not-important
update study environment,not-urgent not-important
send a reminder for client call,urgent not-important
develop team training plan,not-urgent important
look for peer review deadline,urgent not-important
research internship opportunity,not-urgent important
work on a diy project at home,not-urgent important
write summary of lecture note,not-urgent important
approve the allocation of resource for the new project,urgent important
review lecture note,urgent not-important
submit locker request,urgent not-important
remind group about assignment submission,urgent not-important
check and respond to university-related email,not-urgent important
prepare the operational checklist for external audit,urgent important
practice academic debate,not-urgent important
finalize the invitation list for the family gathering,urgent important
ask about the format for the upcoming final exam,urgent not-important
catch up on your favorite tv show or movie,not-urgent important
clean and maintain data repository for easy access,not-urgent not-important
sort through screenshots,not-urgent not-important
check academic social medium,not-urgent not-important
delegate task to team,urgent not-important
send in your assignment before the deadline tonight,urgent not-important
check out university club that align with your interest,not-urgent not-important
review backup setting,not-urgent not-important
follow up on team task,urgent not-important
address employee grievance,urgent important
review the legal document before signing,urgent important
prepare presentation slide for the annual meeting,not-urgent important
organize digital textbook,not-urgent not-important
catch up on the news,not-urgent not-important
update academic planner,not-urgent important
volunteer at local charity,not-urgent important
draft email signature for team,not-urgent not-important
complete the review for the academic paper before submission,urgent important
set up reminder for due date,not-urgent important
look up scholarship available for the next semester,not-urgent not-important
finalize the detail for the upcoming training session,urgent important
review note with classmate,not-urgent important
complete midterm makeup exam,urgent important
prepare a customer satisfaction report for executive review,urgent important
practice for upcoming oral exam,urgent important
check social medium notification,not-urgent not-important
inform about air conditioning maintenance,urgent not-important
invest in retirement account,not-urgent important
organize course note,not-urgent not-important
search for urgent news update,urgent not-important
compile the financial summary for the end-of-month report,urgent important
update office emergency contact list,not-urgent important
review the midterm grade for accuracy,urgent important
complete weekly project review report,not-urgent important
send reminder to team,urgent not-important
check pantry stock,
establish project team and role,urgent important
resolve the technical support ticket from a major customer,urgent important
organize a conference call with overseas partner,urgent important
complete the contract negotiation with the new client,urgent important
join a virtual game night with friend,not-urgent not-important
